iter	Passed	Remaining
0	35	35243
1	66	33019
2	96	32134
3	128	31911
4	157	31389
5	188	31309
6	219	31196
7	251	31151
8	278	30667
9	308	30550
10	337	30342
11	364	30010
12	390	29670
13	417	29423
14	444	29161
15	469	28867
16	494	28598
17	520	28388
18	547	28248
19	575	28175
20	600	27985
21	627	27893
22	651	27687
23	676	27518
24	704	27457
25	731	27392
26	759	27358
27	788	27375
28	817	27381
29	844	27300
30	870	27220
31	895	27099
32	920	26982
33	946	26888
34	970	26762
35	997	26698
36	1018	26517
37	1044	26440
38	1070	26387
39	1099	26395
40	1123	26286
41	1154	26344
42	1181	26294
43	1207	26225
44	1231	26145
45	1254	26014
46	1279	25945
47	1303	25862
48	1331	25841
49	1357	25791
50	1380	25695
51	1407	25651
52	1433	25619
53	1460	25587
54	1485	25515
55	1507	25416
56	1532	25357
57	1557	25288
58	1580	25204
59	1602	25108
60	1628	25074
61	1657	25076
62	1686	25077
63	1713	25054
64	1736	24975
65	1758	24891
66	1787	24886
67	1812	24843
68	1838	24810
69	1861	24733
70	1883	24644
71	1911	24642
72	1936	24589
73	1962	24553
74	1990	24545
75	2013	24479
76	2038	24430
77	2059	24343
78	2087	24336
79	2115	24326
80	2138	24267
81	2159	24179
82	2183	24118
83	2206	24063
84	2235	24066
85	2259	24018
86	2285	23982
87	2307	23914
88	2331	23869
89	2355	23815
90	2378	23754
91	2399	23683
92	2424	23641
93	2445	23569
94	2469	23525
95	2496	23511
96	2518	23445
97	2546	23439
98	2569	23385
99	2593	23339
100	2618	23303
101	2642	23260
102	2666	23220
103	2696	23233
104	2717	23162
105	2739	23107
106	2769	23110
107	2793	23075
108	2818	23043
109	2841	22992
110	2864	22941
111	2888	22898
112	2912	22863
113	2934	22808
114	2959	22776
115	2983	22736
116	3012	22736
117	3032	22668
118	3057	22636
119	3079	22580
120	3099	22519
121	3127	22507
122	3148	22446
123	3169	22391
124	3193	22354
125	3214	22294
126	3238	22263
127	3268	22267
128	3291	22221
129	3314	22182
130	3342	22171
131	3369	22157
132	3394	22125
133	3418	22090
134	3446	22079
135	3469	22043
136	3494	22014
137	3521	21993
138	3547	21971
139	3572	21942
140	3595	21902
141	3621	21882
142	3641	21825
143	3671	21825
144	3697	21801
145	3718	21752
146	3743	21720
147	3771	21710
148	3794	21670
149	3818	21635
150	3838	21583
151	3863	21553
152	3884	21502
153	3909	21477
154	3930	21428
155	3959	21422
156	3985	21400
157	4007	21353
158	4030	21318
159	4059	21312
160	4079	21260
161	4101	21218
162	4123	21174
163	4149	21151
164	4171	21110
165	4195	21079
166	4217	21034
167	4241	21005
168	4264	20967
169	4292	20958
170	4322	20953
171	4350	20944
172	4370	20891
173	4391	20844
174	4416	20821
175	4443	20803
176	4471	20793
177	4495	20760
178	4516	20717
179	4541	20689
180	4565	20660
181	4591	20635
182	4614	20599
183	4637	20566
184	4661	20535
185	4683	20496
186	4712	20486
187	4737	20463
188	4758	20417
189	4780	20379
190	4805	20352
191	4831	20330
192	4854	20297
193	4879	20271
194	4901	20235
195	4924	20200
196	4952	20185
197	4977	20161
198	4999	20124
199	5021	20086
200	5043	20049
201	5068	20023
202	5087	19972
203	5109	19937
204	5132	19905
205	5154	19866
206	5179	19841
207	5200	19803
208	5223	19768
209	5247	19742
210	5275	19727
211	5298	19693
212	5322	19666
213	5344	19630
214	5363	19583
215	5384	19543
216	5408	19513
217	5428	19471
218	5453	19447
219	5475	19414
220	5496	19372
221	5517	19334
222	5538	19298
223	5563	19272
224	5586	19242
225	5608	19207
226	5633	19182
227	5652	19140
228	5679	19121
229	5701	19086
230	5727	19065
231	5749	19032
232	5770	18996
233	5796	18975
234	5818	18941
235	5841	18911
236	5864	18879
237	5888	18854
238	5915	18834
239	5934	18793
240	5959	18768
241	5987	18754
242	6009	18722
243	6039	18713
244	6070	18706
245	6104	18710
246	6131	18693
247	6154	18663
248	6180	18641
249	6202	18608
250	6223	18572
251	6243	18532
252	6265	18498
253	6285	18460
254	6318	18459
255	6345	18442
256	6366	18406
257	6390	18377
258	6412	18346
259	6433	18310
260	6462	18297
261	6490	18282
262	6513	18252
263	6533	18213
264	6555	18181
265	6578	18153
266	6603	18128
267	6623	18091
268	6642	18050
269	6661	18011
270	6681	17973
271	6710	17960
272	6730	17923
273	6752	17892
274	6771	17852
275	6792	17819
276	6818	17796
277	6844	17776
278	6864	17738
279	6889	17715
280	6913	17688
281	6948	17692
282	6971	17662
283	6992	17629
284	7013	17594
285	7042	17581
286	7063	17548
287	7095	17541
288	7122	17522
289	7145	17494
290	7169	17468
291	7197	17451
292	7218	17417
293	7241	17389
294	7266	17364
295	7286	17330
296	7309	17300
297	7330	17269
298	7352	17237
299	7376	17212
300	7396	17177
301	7419	17147
302	7439	17113
303	7461	17083
304	7484	17054
305	7515	17045
306	7537	17014
307	7561	16988
308	7591	16975
309	7613	16946
310	7639	16923
311	7659	16890
312	7681	16860
313	7707	16838
314	7729	16809
315	7754	16784
316	7778	16759
317	7799	16726
318	7819	16693
319	7839	16659
320	7863	16633
321	7884	16601
322	7912	16584
323	7935	16557
324	7959	16531
325	7987	16513
326	8008	16481
327	8038	16468
328	8062	16443
329	8094	16434
330	8124	16420
331	8148	16395
332	8172	16370
333	8195	16341
334	8224	16326
335	8246	16295
336	8268	16267
337	8291	16239
338	8316	16216
339	8342	16193
340	8364	16164
341	8388	16139
342	8410	16110
343	8436	16088
344	8461	16064
345	8483	16034
346	8514	16022
347	8536	15994
348	8561	15969
349	8587	15948
350	8615	15930
351	8644	15912
352	8665	15882
353	8687	15852
354	8707	15820
355	8728	15790
356	8755	15769
357	8776	15738
358	8803	15718
359	8825	15690
360	8846	15659
361	8879	15648
362	8899	15616
363	8921	15587
364	8945	15562
365	8970	15539
366	8993	15512
367	9023	15496
368	9046	15469
369	9067	15439
370	9092	15415
371	9120	15396
372	9141	15366
373	9161	15334
374	9181	15301
375	9202	15273
376	9224	15243
377	9251	15222
378	9272	15192
379	9294	15164
380	9314	15133
381	9336	15104
382	9364	15085
383	9393	15068
384	9413	15037
385	9436	15011
386	9460	14984
387	9483	14958
388	9507	14933
389	9530	14906
390	9553	14879
391	9583	14863
392	9608	14840
393	9636	14822
394	9660	14796
395	9684	14770
396	9707	14743
397	9726	14712
398	9746	14680
399	9769	14654
400	9790	14624
401	9810	14593
402	9842	14580
403	9864	14552
404	9886	14523
405	9908	14497
406	9930	14468
407	9955	14444
408	9979	14420
409	10001	14392
410	10024	14365
411	10049	14342
412	10074	14319
413	10101	14297
414	10128	14277
415	10151	14251
416	10175	14225
417	10198	14200
418	10222	14174
419	10243	14145
420	10264	14117
421	10286	14089
422	10309	14063
423	10332	14036
424	10351	14005
425	10371	13974
426	10399	13955
427	10418	13924
428	10437	13892
429	10459	13865
430	10482	13839
431	10501	13807
432	10522	13778
433	10542	13749
434	10576	13737
435	10597	13708
436	10617	13679
437	10642	13655
438	10664	13628
439	10695	13612
440	10723	13592
441	10745	13565
442	10766	13537
443	10792	13514
444	10818	13493
445	10840	13465
446	10868	13446
447	10887	13414
448	10907	13385
449	10941	13373
450	10963	13346
451	10984	13317
452	11004	13288
453	11034	13270
454	11054	13241
455	11075	13213
456	11099	13187
457	11127	13168
458	11148	13139
459	11167	13109
460	11187	13080
461	11214	13059
462	11243	13040
463	11271	13020
464	11300	13001
465	11320	12972
466	11340	12943
467	11365	12920
468	11393	12899
469	11415	12872
470	11440	12849
471	11466	12827
472	11486	12797
473	11504	12767
474	11527	12741
475	11550	12715
476	11571	12687
477	11591	12658
478	11614	12633
479	11636	12606
480	11657	12577
481	11677	12550
482	11698	12521
483	11718	12493
484	11740	12466
485	11764	12442
486	11798	12428
487	11825	12406
488	11847	12380
489	11871	12355
490	11893	12329
491	11917	12305
492	11939	12279
493	11966	12256
494	11991	12234
495	12013	12207
496	12034	12179
497	12057	12153
498	12084	12132
499	12108	12108
500	12129	12081
501	12150	12054
502	12170	12025
503	12202	12008
504	12225	11983
505	12250	11960
506	12275	11936
507	12297	11910
508	12321	11885
509	12342	11858
510	12368	11835
511	12394	11813
512	12417	11787
513	12437	11760
514	12468	11741
515	12494	11719
516	12522	11698
517	12546	11674
518	12569	11649
519	12591	11622
520	12617	11600
521	12642	11577
522	12665	11551
523	12688	11525
524	12710	11499
525	12734	11475
526	12761	11454
527	12787	11431
528	12810	11406
529	12833	11380
530	12858	11357
531	12879	11329
532	12901	11304
533	12932	11285
534	12962	11266
535	12984	11239
536	13007	11214
537	13030	11189
538	13057	11167
539	13078	11140
540	13100	11114
541	13120	11086
542	13143	11061
543	13169	11038
544	13191	11012
545	13217	10990
546	13240	10965
547	13261	10938
548	13284	10913
549	13306	10886
550	13328	10861
551	13355	10839
552	13375	10811
553	13402	10790
554	13431	10769
555	13457	10746
556	13477	10718
557	13498	10692
558	13519	10665
559	13547	10644
560	13571	10619
561	13595	10595
562	13618	10570
563	13642	10545
564	13662	10518
565	13689	10496
566	13714	10473
567	13737	10448
568	13764	10425
569	13792	10404
570	13814	10378
571	13833	10350
572	13861	10329
573	13887	10306
574	13912	10283
575	13939	10261
576	13960	10234
577	13987	10212
578	14010	10187
579	14030	10160
580	14052	10134
581	14071	10106
582	14097	10083
583	14118	10056
584	14138	10029
585	14160	10003
586	14184	9979
587	14210	9956
588	14229	9929
589	14250	9902
590	14284	9885
591	14306	9860
592	14328	9833
593	14347	9806
594	14376	9785
595	14403	9763
596	14426	9738
597	14448	9713
598	14475	9690
599	14496	9664
600	14519	9639
601	14545	9616
602	14566	9589
603	14596	9569
604	14626	9549
605	14648	9523
606	14674	9500
607	14700	9478
608	14727	9455
609	14754	9433
610	14783	9412
611	14805	9386
612	14828	9361
613	14850	9336
614	14872	9310
615	14897	9286
616	14922	9262
617	14946	9238
618	14966	9212
619	14991	9188
620	15014	9163
621	15035	9137
622	15060	9113
623	15083	9088
624	15107	9064
625	15135	9042
626	15157	9016
627	15178	8990
628	15200	8965
629	15224	8941
630	15245	8915
631	15270	8891
632	15298	8869
633	15323	8846
634	15345	8820
635	15368	8795
636	15391	8770
637	15423	8751
638	15452	8729
639	15477	8706
640	15508	8685
641	15532	8661
642	15563	8640
643	15587	8616
644	15609	8591
645	15631	8565
646	15653	8540
647	15675	8515
648	15699	8490
649	15726	8468
650	15751	8444
651	15775	8420
652	15797	8394
653	15819	8369
654	15845	8346
655	15865	8319
656	15887	8294
657	15912	8270
658	15936	8246
659	15956	8220
660	15978	8194
661	16001	8169
662	16031	8148
663	16053	8123
664	16077	8099
665	16105	8076
666	16127	8051
667	16150	8026
668	16170	8000
669	16192	7975
670	16214	7950
671	16240	7927
672	16264	7902
673	16286	7877
674	16309	7852
675	16332	7827
676	16357	7804
677	16383	7780
678	16407	7756
679	16428	7731
680	16452	7706
681	16476	7682
682	16506	7660
683	16529	7636
684	16556	7613
685	16579	7589
686	16606	7565
687	16628	7540
688	16652	7516
689	16676	7492
690	16696	7466
691	16721	7442
692	16743	7417
693	16765	7392
694	16786	7366
695	16809	7342
696	16834	7318
697	16854	7292
698	16875	7266
699	16898	7242
700	16928	7220
701	16949	7195
702	16971	7170
703	16994	7145
704	17020	7122
705	17042	7096
706	17068	7073
707	17092	7049
708	17116	7025
709	17137	6999
710	17163	6976
711	17185	6951
712	17207	6926
713	17228	6901
714	17249	6875
715	17272	6851
716	17292	6825
717	17317	6801
718	17343	6778
719	17368	6754
720	17391	6729
721	17413	6704
722	17437	6680
723	17458	6655
724	17481	6630
725	17503	6606
726	17531	6583
727	17550	6557
728	17572	6532
729	17594	6507
730	17619	6483
731	17644	6460
732	17664	6434
733	17687	6409
734	17709	6385
735	17737	6362
736	17761	6338
737	17782	6312
738	17808	6289
739	17831	6264
740	17860	6242
741	17881	6217
742	17902	6192
743	17923	6167
744	17945	6142
745	17966	6117
746	17989	6092
747	18011	6068
748	18032	6043
749	18056	6018
750	18081	5994
751	18104	5970
752	18130	5947
753	18153	5922
754	18177	5898
755	18200	5874
756	18228	5851
757	18250	5826
758	18276	5803
759	18305	5780
760	18333	5757
761	18355	5733
762	18381	5709
763	18407	5686
764	18433	5662
765	18455	5637
766	18479	5613
767	18505	5590
768	18529	5566
769	18557	5543
770	18583	5519
771	18609	5496
772	18629	5470
773	18654	5446
774	18675	5422
775	18698	5397
776	18720	5372
777	18747	5349
778	18770	5325
779	18794	5301
780	18818	5276
781	18842	5252
782	18868	5229
783	18894	5205
784	18917	5181
785	18943	5157
786	18965	5132
787	18988	5108
788	19011	5084
789	19033	5059
790	19060	5036
791	19087	5013
792	19110	4988
793	19132	4963
794	19157	4939
795	19182	4916
796	19203	4891
797	19224	4866
798	19251	4843
799	19279	4819
800	19301	4795
801	19328	4771
802	19359	4749
803	19381	4724
804	19404	4700
805	19431	4677
806	19457	4653
807	19479	4628
808	19506	4605
809	19528	4580
810	19553	4556
811	19578	4532
812	19598	4507
813	19622	4483
814	19642	4458
815	19666	4434
816	19688	4410
817	19709	4385
818	19731	4360
819	19759	4337
820	19784	4313
821	19806	4288
822	19830	4264
823	19853	4240
824	19878	4216
825	19904	4193
826	19928	4168
827	19952	4144
828	19981	4121
829	20009	4098
830	20032	4074
831	20053	4049
832	20081	4025
833	20107	4002
834	20128	3977
835	20149	3952
836	20172	3928
837	20199	3904
838	20220	3880
839	20257	3858
840	20285	3835
841	20304	3810
842	20328	3785
843	20352	3761
844	20374	3737
845	20402	3713
846	20423	3689
847	20446	3665
848	20469	3640
849	20495	3616
850	20521	3593
851	20549	3569
852	20578	3546
853	20599	3521
854	20632	3499
855	20655	3474
856	20680	3450
857	20702	3426
858	20725	3402
859	20747	3377
860	20769	3353
861	20790	3328
862	20811	3303
863	20840	3280
864	20864	3256
865	20888	3232
866	20913	3208
867	20938	3184
868	20965	3160
869	20989	3136
870	21012	3112
871	21035	3087
872	21063	3064
873	21093	3040
874	21121	3017
875	21154	2994
876	21176	2970
877	21201	2946
878	21221	2921
879	21242	2896
880	21263	2872
881	21283	2847
882	21305	2822
883	21327	2798
884	21354	2774
885	21376	2750
886	21402	2726
887	21425	2702
888	21450	2678
889	21472	2653
890	21496	2629
891	21522	2605
892	21545	2581
893	21566	2557
894	21587	2532
895	21608	2508
896	21635	2484
897	21659	2460
898	21694	2437
899	21722	2413
900	21750	2389
901	21777	2366
902	21802	2341
903	21827	2317
904	21849	2293
905	21874	2269
906	21901	2245
907	21924	2221
908	21947	2197
909	21973	2173
910	21997	2149
911	22025	2125
912	22046	2100
913	22069	2076
914	22096	2052
915	22118	2028
916	22150	2004
917	22181	1981
918	22205	1957
919	22229	1932
920	22251	1908
921	22273	1884
922	22297	1860
923	22322	1836
924	22353	1812
925	22375	1788
926	22397	1763
927	22418	1739
928	22439	1714
929	22462	1690
930	22482	1666
931	22504	1641
932	22528	1617
933	22551	1593
934	22575	1569
935	22594	1544
936	22624	1521
937	22645	1496
938	22670	1472
939	22690	1448
940	22713	1424
941	22734	1399
942	22755	1375
943	22778	1351
944	22800	1327
945	22821	1302
946	22842	1278
947	22864	1254
948	22890	1230
949	22913	1205
950	22935	1181
951	22957	1157
952	22979	1133
953	23001	1109
954	23023	1084
955	23054	1061
956	23081	1037
957	23103	1012
958	23128	988
959	23148	964
960	23170	940
961	23195	916
962	23217	892
963	23245	868
964	23270	843
965	23296	819
966	23326	796
967	23353	772
968	23374	747
969	23399	723
970	23421	699
971	23447	675
972	23471	651
973	23496	627
974	23515	602
975	23536	578
976	23563	554
977	23591	530
978	23613	506
979	23640	482
980	23663	458
981	23684	434
982	23709	410
983	23733	385
984	23760	361
985	23786	337
986	23810	313
987	23835	289
988	23856	265
989	23881	241
990	23911	217
991	23935	193
992	23958	168
993	23989	144
994	24010	120
995	24034	96
996	24057	72
997	24082	48
998	24106	24
999	24129	0
